domain,price
fischer-wolle.de,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d695c8e0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
flashfishtech.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69d6560>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
floreve.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6a06290>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
folleallurefilms.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6961e10>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
fondapol.org,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d695f790>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
foodwatch.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ac58c4c0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
fouartessport.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69f34c0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
fr-batteries.com,error: 'utf-8' codec can't decode byte 0xe9 in position 2422: invalid continuation byte
francesoir.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8342e60>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
fratelliguzzini.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ac58ea10>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
frontmediatique.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6960e20>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
fudoon.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6a1e3b0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
g4hometechnology.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d695fee0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
gdata.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8355ed0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
geekdot.net,error: 
gep.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d697dae0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
gerardpasquier.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d697c7c0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
gimmeswag.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d694a800>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
glitzerpueppi.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d698bd30>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
gofile.io,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6948fa0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
gotek7.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6992110>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
goupiya.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6c35480>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
gt2i.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6a05960>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
hakutou-shop.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69d50f0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
happypaint.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ac58cb20>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
hardloop.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8410bb0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
harmonie-medical-service.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d83e0bb0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
hautopart.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d7748430>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
havalab.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69f1cf0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
heroquest-revival.com,error: 
hiboutik.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69b8d90>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
hkoenig.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69c1180>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
holyowly.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d836f700>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
homifab.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69f1690>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
housepet.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d695e0e0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
ici-store.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ad2720b0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
ilicut.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8356c50>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
imprim-encre.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ac58c370>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
increvable.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d800b250>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
infolawyers.fr,error: 
inovatlantic-led.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6c396c0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
insenio.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d83ec850>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
interbalances.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6a07010>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
interiors.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8413ca0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
itrvatlgth.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8411a50>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
ixob.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ad2c5cf0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
jimmylion.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d697d330>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
jimprimeenfrance.fr,error: 
jott.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d800a290>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
journaux-originaux.com,error: 
journaux.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d83b0a60>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
juvel-5.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ad273fd0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
juviasplace.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ac58ef80>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
kaporal.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8411b10>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
keiyama.eu,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ad210c10>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
kennedyspacecenter-tickets.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d836d300>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
kenzai.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6989de0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
kinderkraft.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6a07c40>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
klarstein.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ad2dd300>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
kox24.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6c7f130>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
kpopisforcoolkids.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ac58c4c0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
krc-nutrition.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8428be0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
l214.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d83a2bf0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
labofractal.net,error: 
laboratoire-lescuyer.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ad267d90>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
laboutiqueofficielle.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8373850>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lacinetek.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6990b20>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lacompagniedublanc.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69ab2b0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lacompagniedulit.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6c35570>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lacoshop.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69d6c80>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lalamise.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69f23b0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
larp-fashion.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6c448b0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lateliernatwood.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8337ca0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lauyan.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6c37400>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
laverdure.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d69cc8b0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
laxdt.top,error: 
lazarekids.com,error: 
leafcuphider.uno,error: Cannot connect to host leafcuphider.uno:443 ssl:default [Name or service not known]
leapcomponents.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8411690>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lebonfiltre.fr,error: 
ledperf.com,error: 
lensluxedesigns.cam,error: 
lettresadhesives.net,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ad2c41c0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
levanmigrateur.com,error: 
lexon-design.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d8335e10>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
librahost.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ac26f9a0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lifeextensioneurope.fr,error: 
lightcone.org,error: 
linxo.com,error: 
lnhkcreations.com,error: 
loberon.fr,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d838b8b0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
logmaker.uk,error: 
lolaluna-shop.com,error: 
loucandeloun.fr,error: 
louis-moto.fr,error: 
lpo.fr,error: 
lubuniversal.com,error: 
luminaire.fr,error: 
lunii.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43ad2565c0>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
lydia-app.com,error: 
ma-seedbox.me,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6562440>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
magasinduchef.com,error: 
magnum.fr,error: 
magnussenaudio.com,error: 
mailo.com,error: 
maison-energy.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d7e6c130>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
maktaba-oumlina.com,error: 
maman-naturelle.com,error: 
mangadori.com,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d65b2230>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
manymornings.com,error: 
margueritecie.org,"[HTTP API price extraction error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /price-extract (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f43d6696110>: Failed to establish a new connection: [Errno 111] Connection refused'))]"
mariedenazareth.com,error: 
meetic.fr,error: 
meo.de,error: 
mesbga.com,error: 
metaltis.fr,error: 
mgr-distribution.com,error: 
mindmeister.com,error: 
mir35.com,error: 
missionsaintbenoit.fr,error: 
missoma.com,error: 
mobistoxx.fr,error: 
monde-diplomatique.fr,error: 
monecowatt.fr,error: 
monespacesante.fr,error: 
montaz.com,error: 
moolineo.com,error: 
motifpersonnel.com,error: 
motoandco.fr,error: 
motorisationplus.com,error: 
motorradlack.de,error: 
moulinduportugal.com,error: 
mpadeco.com,error: 
mtk-tuning.com,error: 
mundijeux.fr,error: 
musher-experience.com,error: 
musicpromusic.com,error: 
